filename,source_pdf,ma_so,period,style,width,height,cell_index,total_cells,hoa_si,mieu_ta,nguon_goc
HVDV_-_LYTRAN_-_021_crop_01.png,HVDV - LYTRAN - 021_ver_01.pdf,HVDV - LYTRAN - 021,Ly-Tran,line_art,1471,1471,1,1,Lục Bình,Rồng ổ thời Lý,"Nắp hộp tráng men xanh ngọc thời Lý. Ảnh: Hội KHLSVN-Tạp chí Xưa&Nay, Hoàng thành Thăng Long-Phát hiện Khảo cổ học, 2004, tr.98"
HVDV_-_LYTRAN_-_022_crop_01.png,HVDV - LYTRAN - 022_ver_01.pdf,HVDV - LYTRAN - 022,Ly-Tran,colored,2966,2966,1,1,Lục Bình,Hoa cúc dây thời Lý,"Đĩa men ngọc trang trí cúc dây. Ảnh: Hội KHLSVN-Tạp chí Xưa&Nay, Hoàng thành Thăng Long-Phát hiện Khảo cổ học, 2004, tr.99"
HVDV_-_LYTRAN_-_023_crop_01.png,HVDV - LYTRAN - 023_ver_01.pdf,HVDV - LYTRAN - 023,Ly-Tran,colored,1452,1452,1,1,Lục Bình,Rồng ổ thời Lý,"Thớt đá tháp Chương Sơn, Nam Định, ảnh: Nguyễn Ngọc Duy"
HVDV_-_LYTRAN_-_027_crop_01.png,HVDV - LYTRAN - 027_ver_02.pdf,HVDV - LYTRAN - 027,Ly-Tran,colored,1975,1366,1,1,Lục Bình,Vũ nữ thời Trần,"Trụ đấu chùa Dâu, Nguyễn Du Chi, Hoa Văn Việt Nam Từ Thời Tiền Sử Đến Nửa Đầu Thời Kỳ Phong Kiến, Nxb Mỹ thuật, 2003, tr.164"
HVDV_-_LYTRAN_-_029_crop_01.png,HVDV - LYTRAN - 029_ver_01.pdf,HVDV - LYTRAN - 029,Ly-Tran,colored,2633,2241,1,1,Lục Bình,"Pattern "" Cửu sơn bát hải""",Đế bia chùa Long Đọi. Ảnh: Đặng Hồng Sơn
HVDV_-_LYTRAN_-_030_crop_01.png,HVDV - LYTRAN - 030_ver_01.pdf,HVDV - LYTRAN - 030,Ly-Tran,line_art,2025,1396,1,1,Định Lê,Phượng trong lá đề thời Trần,"Chạm gỗ chùa Bối Khê. Ảnh: Nguyễn Du Chi, Hoa Văn Việt Nam Từ Thời Tiền Sử Đến Nửa Đầu Thời Kỳ Phong Kiến, Nxb Mỹ thuật, 2003, tr.138"
HVDV_-_LYTRAN_-_032_-_6_-_9_crop_01.png,HVDV - LYTRAN - 032 - 6 - 9_ver_01.pdf,HVDV - LYTRAN - 032 - 6 - 9,Ly-Tran,colored,469,472,1,2,Lục Bình,Hoa sen thời Lý,"Đầu ngói ống, di tích Trần Phú và di tích Hoàng thành Thăng Long. Ảnh: Đặng Hồng Sơn, Gạch ngói và vật liệu trang trí trên mái thời Lý - Trần - Hồ, Nxb Thế giới, 2016, tr.556-557"
HVDV_-_LYTRAN_-_032_-_6_-_9_crop_02.png,HVDV - LYTRAN - 032 - 6 - 9_ver_01.pdf,HVDV - LYTRAN - 032 - 6 - 9,Ly-Tran,colored,469,472,2,2,Lục Bình,Hoa sen thời Lý,"Đầu ngói ống, di tích Trần Phú và di tích Hoàng thành Thăng Long. Ảnh: Đặng Hồng Sơn, Gạch ngói và vật liệu trang trí trên mái thời Lý - Trần - Hồ, Nxb Thế giới, 2016, tr.556-557"
HVDV_-_LYTRAN_-_035_-_5_crop_01.png,HVDV - LYTRAN - 035 - 5_ver_02.pdf,HVDV - LYTRAN - 035 - 5,Ly-Tran,line_art,1638,2104,1,1,Lục Bình,Tượng uyên ương thời Lý,"Ngói úp nóc, di tích 18 Hoàng Diệu. Ảnh: Đặng Hồng Sơn, Gạch ngói và vật liệu trang trí trên mái thời Lý - Trần - Hồ, Nxb Thế giới, 2016, tr.512"
HVDV_-_LYTRAN_-_036_-_2_crop_01.png,HVDV - LYTRAN - 036 - 2_ver_01.pdf,HVDV - LYTRAN - 036 - 2,Ly-Tran,line_art,443,442,1,1,Lục Bình,Hoa sen thời Lý- Trần,"Đầu ngói ống, di tích 18 Hoàng Diệu. Ảnh: Đặng Hồng Sơn, Gạch ngói và vật liệu trang trí trên mái thời Lý - Trần - Hồ, Nxb Thế giới, 2016, tr.559"
