filename,source_pdf,ma_so,period,style,width,height,cell_index,total_cells,hoa_si,mieu_ta,nguon_goc
HVDV_-_NGN_-_AO_-_013_crop_01.png,HVDV - NGN - AO - 013_ver_03.pdf,HVDV - NGN - AO - 013,Nguyen,line_art,2301,1899,1,3,Võ Quỳnh Trâm,Mãng ổ,"Triều phục Mãng bào của triều thần- Bảo tàng văn hóa Huế,  ảnh: Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_013_crop_02.png,HVDV - NGN - AO - 013_ver_03.pdf,HVDV - NGN - AO - 013,Nguyen,colored,2300,1899,2,3,Võ Quỳnh Trâm,Mãng ổ,"Triều phục Mãng bào của triều thần- Bảo tàng văn hóa Huế,  ảnh: Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_013_crop_03.png,HVDV - NGN - AO - 013_ver_03.pdf,HVDV - NGN - AO - 013,Nguyen,colored,1771,1899,3,3,Võ Quỳnh Trâm,Mãng ổ,"Triều phục Mãng bào của triều thần- Bảo tàng văn hóa Huế,  ảnh: Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_014_crop_01.png,HVDV - NGN - AO - 014_ver_03.pdf,HVDV - NGN - AO - 014,Nguyen,line_art,2012,1835,1,3,Võ Quỳnh Trâm,"Phúc triều thọ. ""Phúc"" là con dơi trong Hán Văn.","Áo dài bát bửu, bảo tàng văn hóa Huế,  ảnh: Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_014_crop_02.png,HVDV - NGN - AO - 014_ver_03.pdf,HVDV - NGN - AO - 014,Nguyen,colored,2011,1835,2,3,Võ Quỳnh Trâm,"Phúc triều thọ. ""Phúc"" là con dơi trong Hán Văn.","Áo dài bát bửu, bảo tàng văn hóa Huế,  ảnh: Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_014_crop_03.png,HVDV - NGN - AO - 014_ver_03.pdf,HVDV - NGN - AO - 014,Nguyen,line_art,1659,1835,3,3,Võ Quỳnh Trâm,"Phúc triều thọ. ""Phúc"" là con dơi trong Hán Văn.","Áo dài bát bửu, bảo tàng văn hóa Huế,  ảnh: Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_019_crop_01.png,HVDV - NGN - AO - 019_ver_02.pdf,HVDV - NGN - AO - 019,Nguyen,line_art,2171,2195,1,2,Võ Quỳnh Trâm,"Phượng ổ, thêu trên đoạn","Phượng bào công chúa, phục dựng bởi nghệ nhân Vũ Văn Giỏi,  ảnh Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_019_crop_02.png,HVDV - NGN - AO - 019_ver_02.pdf,HVDV - NGN - AO - 019,Nguyen,colored,2167,2195,2,2,Võ Quỳnh Trâm,"Phượng ổ, thêu trên đoạn","Phượng bào công chúa, phục dựng bởi nghệ nhân Vũ Văn Giỏi,  ảnh Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_020_crop_01.png,HVDV - NGN - AO - 020_ver_01.pdf,HVDV - NGN - AO - 020,Nguyen,line_art,1658,2013,1,1,Võ Quỳnh Trâm,"Song thọ điểm mai, dệt trên đoạn","áo dài bát bửu, bảo tàng văn hóa Huế,  ảnh Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_023_crop_01.png,HVDV - NGN - AO - 023_ver_03.pdf,HVDV - NGN - AO - 023,Nguyen,colored,5386,2448,1,2,Võ Quỳnh Trâm,"Kiếm thư, dệt trên đoạn",Triều phục Mãng bào của triều thần- Bảo tàng văn hóa Huế-  ảnh Nguyễn Tấn
HVDV_-_NGN_-_AO_-_023_crop_02.png,HVDV - NGN - AO - 023_ver_03.pdf,HVDV - NGN - AO - 023,Nguyen,colored,2505,2448,2,2,Võ Quỳnh Trâm,"Kiếm thư, dệt trên đoạn",Triều phục Mãng bào của triều thần- Bảo tàng văn hóa Huế-  ảnh Nguyễn Tấn
HVDV_-_NGN_-_AO_-_033_crop_01.png,HVDV - NGN - AO - 033_ver_03.pdf,HVDV - NGN - AO - 033,Nguyen,line_art,1747,937,1,3,Võ Quỳnh Trâm,"Hoa dây và trái bầu, dệt trên đoạn","áo dài bát bửu, bảo tàng văn hóa Huế,  ảnh Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_033_crop_02.png,HVDV - NGN - AO - 033_ver_03.pdf,HVDV - NGN - AO - 033,Nguyen,colored,1747,991,2,3,Võ Quỳnh Trâm,"Hoa dây và trái bầu, dệt trên đoạn","áo dài bát bửu, bảo tàng văn hóa Huế,  ảnh Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_033_crop_03.png,HVDV - NGN - AO - 033_ver_03.pdf,HVDV - NGN - AO - 033,Nguyen,colored,1747,934,3,3,Võ Quỳnh Trâm,"Hoa dây và trái bầu, dệt trên đoạn","áo dài bát bửu, bảo tàng văn hóa Huế,  ảnh Nguyễn Tấn"
